============================= test session starts ==============================
platform darwin -- Python 3.11.8, pytest-8.4.0, pluggy-1.6.0 -- /Users/nicholasbaro/Python/semant/venv/bin/python3.11
cachedir: .pytest_cache
rootdir: /Users/nicholasbaro/Python/semant
configfile: pytest.ini
plugins: anyio-4.9.0, cov-4.1.0, langsmith-0.3.43, mock-3.12.0, asyncio-1.0.0
asyncio: mode=Mode.AUTO, asyncio_default_fixture_loop_scope=function, asyncio_default_test_loop_scope=function

tests/test_consulting_agents.py:74: TypeError
_________________________ test_implementation_planning _________________________

setup_agents = {'engagement_manager': <demo_agents.EngagementManagerAgent object at 0x140cadb50>, 'implementation_lead': <demo_agents...dAgent object at 0x140cae190>, 'value_realization_lead': <demo_agents.ValueRealizationLeadAgent object at 0x1323ba5d0>}

    @pytest.mark.asyncio
    async def test_implementation_planning(setup_agents):
        """Test implementation planning and knowledge capture."""
>       agents = await setup_agents
                 ^^^^^^^^^^^^^^^^^^
E       TypeError: object dict can't be used in 'await' expression

tests/test_consulting_agents.py:110: TypeError
_______________________ test_value_framework_development _______________________

setup_agents = {'engagement_manager': <demo_agents.EngagementManagerAgent object at 0x140cba7d0>, 'implementation_lead': <demo_agents...dAgent object at 0x132345850>, 'value_realization_lead': <demo_agents.ValueRealizationLeadAgent object at 0x131efda90>}

    @pytest.mark.asyncio
    async def test_value_framework_development(setup_agents):
        """Test value framework development and knowledge capture."""
>       agents = await setup_agents
                 ^^^^^^^^^^^^^^^^^^
E       TypeError: object dict can't be used in 'await' expression

tests/test_consulting_agents.py:148: TypeError
__________________________ test_end_to_end_engagement __________________________

setup_agents = {'engagement_manager': <demo_agents.EngagementManagerAgent object at 0x140e4a290>, 'implementation_lead': <demo_agents...dAgent object at 0x140bb0f90>, 'value_realization_lead': <demo_agents.ValueRealizationLeadAgent object at 0x1324d6750>}

    @pytest.mark.asyncio
    async def test_end_to_end_engagement(setup_agents):
        """Test complete engagement flow from initialization to value framework."""
>       agents = await setup_agents
                 ^^^^^^^^^^^^^^^^^^
E       TypeError: object dict can't be used in 'await' expression

tests/test_consulting_agents.py:188: TypeError
_______________________ test_knowledge_graph_consistency _______________________

setup_agents = {'engagement_manager': <demo_agents.EngagementManagerAgent object at 0x137906790>, 'implementation_lead': <demo_agents...dAgent object at 0x140ce3a10>, 'value_realization_lead': <demo_agents.ValueRealizationLeadAgent object at 0x140874fd0>}

    @pytest.mark.asyncio
    async def test_knowledge_graph_consistency(setup_agents):
        """Test knowledge graph consistency across agents."""
>       agents = await setup_agents
                 ^^^^^^^^^^^^^^^^^^
E       TypeError: object dict can't be used in 'await' expression

tests/test_consulting_agents.py:274: TypeError
________________________ test_agent_diary_functionality ________________________

setup_agents = {'engagement_manager': <demo_agents.EngagementManagerAgent object at 0x132393a50>, 'implementation_lead': <demo_agents...dAgent object at 0x132391190>, 'value_realization_lead': <demo_agents.ValueRealizationLeadAgent object at 0x140e9b810>}

    @pytest.mark.asyncio
    async def test_agent_diary_functionality(setup_agents):
        """Test that each consulting agent can write to and read from their diary after a move event."""
>       agents = await setup_agents
                 ^^^^^^^^^^^^^^^^^^
E       TypeError: object dict can't be used in 'await' expression

tests/test_consulting_agents.py:323: TypeError
_____________________ test_agent_diary_in_knowledge_graph ______________________

setup_agents = {'engagement_manager': <demo_agents.EngagementManagerAgent object at 0x13277ca50>, 'implementation_lead': <demo_agents...dAgent object at 0x13277d1d0>, 'value_realization_lead': <demo_agents.ValueRealizationLeadAgent object at 0x13245a910>}

    @pytest.mark.asyncio
    async def test_agent_diary_in_knowledge_graph(setup_agents):
        """Test that each consulting agent's diary entries are present in the knowledge graph after writing."""
>       agents = await setup_agents
                 ^^^^^^^^^^^^^^^^^^
E       TypeError: object dict can't be used in 'await' expression

tests/test_consulting_agents.py:341: TypeError
_____________________________ test_agent_creation ______________________________

factory = <agents.core.agent_factory.AgentFactory object at 0x140cad650>

    @pytest.mark.asyncio
    async def test_agent_creation(factory):
        """Test agent creation with different capability types."""
        # Create agent with single capability
>       agent1 = await factory.create_agent("agent1", "test", {CapabilityType.KNOWLEDGE_GRAPH})
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

tests/test_dynamic_agents.py:127: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <agents.core.agent_factory.AgentFactory object at 0x140cad650>
agent_type = 'agent1', agent_id = 'test'
capabilities = {<CapabilityType.KNOWLEDGE_GRAPH: 'knowledge_graph'>}
kwargs = {}

    async def create_agent(
        self,
        agent_type: str,
        agent_id: Optional[str] = None,
        capabilities: Optional[Set[Capability]] = None,
        **kwargs
    ) -> BaseAgent:
        """Create a new agent instance.
    
        Args:
            agent_type: The type of agent to create.
            agent_id: Optional ID for the agent. If not provided, one will be generated.
            capabilities: Optional initial capabilities. If not provided, will use defaults.
            **kwargs: Additional arguments to pass to the agent constructor.
    
        Returns:
            BaseAgent: The created agent instance.
    
        Raises:
            ValueError: If the agent type is not registered.
            RuntimeError: If agent creation fails.
        """
        if agent_type not in self._agent_classes:
>           raise ValueError(f"Unknown agent type: {agent_type}")
E           ValueError: Unknown agent type: agent1

agents/core/agent_factory.py:112: ValueError
------------------------------ Captured log setup ------------------------------
ERROR    asyncio:base_events.py:1785 Task was destroyed but it is pending!
task: <Task pending name='Task-310' coro=<WorkflowNotifier._process_notifications() running at /Users/nicholasbaro/Python/semant/agents/core/agent_registry.py:64> wait_for=<Future pending cb=[Task.task_wakeup()]> cb=[set.discard()]>
ERROR    asyncio:base_events.py:1785 Task was destroyed but it is pending!
task: <Task pending name='Task-316' coro=<WorkflowNotifier._process_notifications() running at /Users/nicholasbaro/Python/semant/agents/core/agent_registry.py:64> wait_for=<Future pending cb=[Task.task_wakeup()]> cb=[set.discard()]>
ERROR    asyncio:base_events.py:1785 Task exception was never retrieved
future: <Task finished name='Task-329' coro=<AgentRegistry.cleanup() done, defined at /Users/nicholasbaro/Python/semant/agents/core/agent_registry.py:407> exception=RuntimeError('Event loop is closed')>
Traceback (most recent call last):
  File "/Users/nicholasbaro/Python/semant/agents/core/agent_registry.py", line 410, in cleanup
    await self._workflow_notifier.cleanup()
  File "/Users/nicholasbaro/Python/semant/agents/core/agent_registry.py", line 111, in cleanup
    self._processor_task.cancel()
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/base_events.py", line 762, in call_soon
    self._check_closed()
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/base_events.py", line 520, in _check_closed
    raise RuntimeError('Event loop is closed')
RuntimeError: Event loop is closed
ERROR    asyncio:base_events.py:1785 Task exception was never retrieved
future: <Task finished name='Task-330' coro=<AgentRegistry.cleanup() done, defined at /Users/nicholasbaro/Python/semant/agents/core/agent_registry.py:407> exception=RuntimeError("Task <Task pending name='Task-330' coro=<AgentRegistry.cleanup() running at /Users/nicholasbaro/Python/semant/agents/core/agent_registry.py:410>> got Future <Task cancelling name='Task-310' coro=<WorkflowNotifier._process_notifications() done, defined at /Users/nicholasbaro/Python/semant/agents/core/agent_registry.py:60> wait_for=<Future cancelled> cb=[set.discard()]> attached to a different loop")>
Traceback (most recent call last):
  File "/Users/nicholasbaro/Python/semant/agents/core/agent_registry.py", line 410, in cleanup
    await self._workflow_notifier.cleanup()
  File "/Users/nicholasbaro/Python/semant/agents/core/agent_registry.py", line 113, in cleanup
    await self._processor_task
RuntimeError: Task <Task pending name='Task-330' coro=<AgentRegistry.cleanup() running at /Users/nicholasbaro/Python/semant/agents/core/agent_registry.py:410>> got Future <Task cancelling name='Task-310' coro=<WorkflowNotifier._process_notifications() done, defined at /Users/nicholasbaro/Python/semant/agents/core/agent_registry.py:60> wait_for=<Future cancelled> cb=[set.discard()]> attached to a different loop
ERROR    asyncio:base_events.py:1785 Task exception was never retrieved
future: <Task finished name='Task-331' coro=<AgentRegistry.cleanup() done, defined at /Users/nicholasbaro/Python/semant/agents/core/agent_registry.py:407> exception=RuntimeError("Task <Task pending name='Task-331' coro=<AgentRegistry.cleanup() running at /Users/nicholasbaro/Python/semant/agents/core/agent_registry.py:410>> got Future <Task cancelling name='Task-316' coro=<WorkflowNotifier._process_notifications() done, defined at /Users/nicholasbaro/Python/semant/agents/core/agent_registry.py:60> wait_for=<Future cancelled> cb=[set.discard()]> attached to a different loop")>
Traceback (most recent call last):
  File "/Users/nicholasbaro/Python/semant/agents/core/agent_registry.py", line 410, in cleanup
    await self._workflow_notifier.cleanup()
  File "/Users/nicholasbaro/Python/semant/agents/core/agent_registry.py", line 113, in cleanup
    await self._processor_task
RuntimeError: Task <Task pending name='Task-331' coro=<AgentRegistry.cleanup() running at /Users/nicholasbaro/Python/semant/agents/core/agent_registry.py:410>> got Future <Task cancelling name='Task-316' coro=<WorkflowNotifier._process_notifications() done, defined at /Users/nicholasbaro/Python/semant/agents/core/agent_registry.py:60> wait_for=<Future cancelled> cb=[set.discard()]> attached to a different loop
_____________________________ test_role_delegation _____________________________

factory = <agents.core.agent_factory.AgentFactory object at 0x131efdc10>

    @pytest.mark.asyncio
    async def test_role_delegation(factory):
        """Test role delegation between agents."""
        # Create supervisor agent
>       supervisor = await factory.create_agent(
            "supervisor",
            "supervisor",
            {CapabilityType.MESSAGE_PROCESSING}
        )

tests/test_dynamic_agents.py:148: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <agents.core.agent_factory.AgentFactory object at 0x131efdc10>
agent_type = 'supervisor', agent_id = 'supervisor'
capabilities = {<CapabilityType.MESSAGE_PROCESSING: 'message_processing'>}
kwargs = {}

    async def create_agent(
        self,
        agent_type: str,
        agent_id: Optional[str] = None,
        capabilities: Optional[Set[Capability]] = None,
        **kwargs
    ) -> BaseAgent:
        """Create a new agent instance.
    
        Args:
            agent_type: The type of agent to create.
            agent_id: Optional ID for the agent. If not provided, one will be generated.
            capabilities: Optional initial capabilities. If not provided, will use defaults.
            **kwargs: Additional arguments to pass to the agent constructor.
    
        Returns:
            BaseAgent: The created agent instance.
    
        Raises:
            ValueError: If the agent type is not registered.
            RuntimeError: If agent creation fails.
        """
        if agent_type not in self._agent_classes:
>           raise ValueError(f"Unknown agent type: {agent_type}")
E           ValueError: Unknown agent type: supervisor

agents/core/agent_factory.py:112: ValueError
______________________________ test_agent_scaling ______________________________

factory = <agents.core.agent_factory.AgentFactory object at 0x13244f250>

    @pytest.mark.asyncio
    async def test_agent_scaling(factory):
        """Test agent scaling and workload distribution."""
        # Create multiple worker agents
        workers = []
        for i in range(3):
>           worker = await factory.create_agent(
                f"worker_{i}",
                "worker",
                {CapabilityType.KNOWLEDGE_GRAPH}
            )

tests/test_dynamic_agents.py:181: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <agents.core.agent_factory.AgentFactory object at 0x13244f250>
agent_type = 'worker_0', agent_id = 'worker'
capabilities = {<CapabilityType.KNOWLEDGE_GRAPH: 'knowledge_graph'>}
kwargs = {}

    async def create_agent(
        self,
        agent_type: str,
        agent_id: Optional[str] = None,
        capabilities: Optional[Set[Capability]] = None,
        **kwargs
    ) -> BaseAgent:
        """Create a new agent instance.
    
        Args:
            agent_type: The type of agent to create.
            agent_id: Optional ID for the agent. If not provided, one will be generated.
            capabilities: Optional initial capabilities. If not provided, will use defaults.
            **kwargs: Additional arguments to pass to the agent constructor.
    
        Returns:
            BaseAgent: The created agent instance.
    
        Raises:
            ValueError: If the agent type is not registered.
            RuntimeError: If agent creation fails.
        """
        if agent_type not in self._agent_classes:
>           raise ValueError(f"Unknown agent type: {agent_type}")
E           ValueError: Unknown agent type: worker_0

agents/core/agent_factory.py:112: ValueError
____________________________ test_supervisor_agent _____________________________

factory = <agents.core.agent_factory.AgentFactory object at 0x141c6b610>

    @pytest.mark.asyncio
    async def test_supervisor_agent(factory):
        """Test supervisor agent functionality."""
>       supervisor = await factory.create_agent(
            "supervisor",
            "supervisor",
            {CapabilityType.MESSAGE_PROCESSING}
        )

tests/test_dynamic_agents.py:213: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <agents.core.agent_factory.AgentFactory object at 0x141c6b610>
agent_type = 'supervisor', agent_id = 'supervisor'
capabilities = {<CapabilityType.MESSAGE_PROCESSING: 'message_processing'>}
kwargs = {}

    async def create_agent(
        self,
        agent_type: str,
        agent_id: Optional[str] = None,
        capabilities: Optional[Set[Capability]] = None,
        **kwargs
    ) -> BaseAgent:
        """Create a new agent instance.
    
        Args:
            agent_type: The type of agent to create.
            agent_id: Optional ID for the agent. If not provided, one will be generated.
            capabilities: Optional initial capabilities. If not provided, will use defaults.
            **kwargs: Additional arguments to pass to the agent constructor.
    
        Returns:
            BaseAgent: The created agent instance.
    
        Raises:
            ValueError: If the agent type is not registered.
            RuntimeError: If agent creation fails.
        """
        if agent_type not in self._agent_classes:
>           raise ValueError(f"Unknown agent type: {agent_type}")
E           ValueError: Unknown agent type: supervisor

agents/core/agent_factory.py:112: ValueError
___________________________ test_workload_monitoring ___________________________

factory = <agents.core.agent_factory.AgentFactory object at 0x137e027d0>

    @pytest.mark.asyncio
    async def test_workload_monitoring(factory):
        """Test workload monitoring and balancing."""
        # Create monitoring agent
>       monitor = await factory.create_agent(
            "monitor",
            "monitor",
            {CapabilityType.MESSAGE_PROCESSING}
        )

tests/test_dynamic_agents.py:236: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <agents.core.agent_factory.AgentFactory object at 0x137e027d0>
agent_type = 'monitor', agent_id = 'monitor'
capabilities = {<CapabilityType.MESSAGE_PROCESSING: 'message_processing'>}
kwargs = {}

    async def create_agent(
        self,
        agent_type: str,
        agent_id: Optional[str] = None,
        capabilities: Optional[Set[Capability]] = None,
        **kwargs
    ) -> BaseAgent:
        """Create a new agent instance.
    
        Args:
            agent_type: The type of agent to create.
            agent_id: Optional ID for the agent. If not provided, one will be generated.
            capabilities: Optional initial capabilities. If not provided, will use defaults.
            **kwargs: Additional arguments to pass to the agent constructor.
    
        Returns:
            BaseAgent: The created agent instance.
    
        Raises:
            ValueError: If the agent type is not registered.
            RuntimeError: If agent creation fails.
        """
        if agent_type not in self._agent_classes:
>           raise ValueError(f"Unknown agent type: {agent_type}")
E           ValueError: Unknown agent type: monitor

agents/core/agent_factory.py:112: ValueError
__________________________________ test_email __________________________________
Expected None, but test returned False. Did you mean to use `assert` instead of `return`?
----------------------------- Captured stdout call -----------------------------
📧 **TESTING EMAIL SEND FUNCTIONALITY**
🎯 Target: nicholas.k.baro@gmail.com

🧪 **TEST 1: Valid Email**
📧 **SMTP EMAIL SETUP REQUIRED**
To send real emails, please provide credentials:
📧 Enter your Gmail address: ❌ Failed to send real email: pytest: reading from stdin while output is captured!  Consider using `-s`.
📧 [SIMULATED] Email sent to nicholas.k.baro@gmail.com: ✅ Test Email from Semant - Email Send Test
⚠️  Valid email test: Simulated only

🧪 **TEST 2: Invalid Recipient**
📧 **SMTP EMAIL SETUP REQUIRED**
To send real emails, please provide credentials:
📧 Enter your Gmail address: ❌ Failed to send real email: pytest: reading from stdin while output is captured!  Consider using `-s`.
📧 [SIMULATED] Email sent to not-an-email: Test Invalid Email
✅ Invalid recipient test: Handled gracefully

🧪 **TEST 3: Missing Subject**
📧 **SMTP EMAIL SETUP REQUIRED**
To send real emails, please provide credentials:
📧 Enter your Gmail address: ❌ Failed to send real email: pytest: reading from stdin while output is captured!  Consider using `-s`.
📧 [SIMULATED] Email sent to nicholas.k.baro@gmail.com: 
⚠️  Missing subject test: Simulated only

🧪 **TEST 4: Missing Body**
📧 **SMTP EMAIL SETUP REQUIRED**
To send real emails, please provide credentials:
📧 Enter your Gmail address: ❌ Failed to send real email: pytest: reading from stdin while output is captured!  Consider using `-s`.
📧 [SIMULATED] Email sent to nicholas.k.baro@gmail.com: 📧 Test Email - No Body Content
⚠️  Missing body test: Simulated only

📊 **EMAIL SEND TEST RESULTS**
   ⚠️ Valid email: ⚠️  Simulated only
   ✅ Invalid recipient: ✅ Handled gracefully
   ⚠️ Missing subject: ⚠️  Simulated only
   ⚠️ Missing body: ⚠️  Simulated only

⚠️  **NO REAL EMAILS SENT**
💡 Tests completed but emails were simulated
🔧 Check email credentials for real sending
____________________________ test_stats_collection _____________________________

graph_manager = <kg.models.graph_manager.KnowledgeGraphManager object at 0x1266b4a90>

    @pytest.mark.asyncio
    async def test_stats_collection(graph_manager):
        """Test collection of graph statistics."""
        # Add test data
        for i in range(100):
            subject = f"http://example.org/core#Agent{i}"
            predicate = "http://example.org/core#hasStatus"
            object = "idle"
            await graph_manager.add_triple(subject, predicate, object)
    
        # Get stats
        stats = graph_manager.get_stats()
    
        # Verify stats
>       assert stats['triple_count'] == 100
               ^^^^^^^^^^^^^^^^^^^^^
E       TypeError: 'coroutine' object is not subscriptable

tests/test_graph_monitoring.py:31: TypeError
____________________________ test_cache_monitoring _____________________________

graph_manager = <kg.models.graph_manager.KnowledgeGraphManager object at 0x142845990>

    @pytest.mark.asyncio
    async def test_cache_monitoring(graph_manager):
        """Test cache monitoring and statistics."""
        # Run some queries to populate cache
        for i in range(10):
            query = f"""
            SELECT ?agent WHERE {{
                ?agent <http://example.org/core#hasStatus> "{i}" .
            }}
            """
            await graph_manager.query_graph(query)
    
        # Get cache stats
        stats = graph_manager.cache.get_stats()
    
        # Verify cache stats
>       assert stats['size'] > 0
E       assert 0 > 0

tests/test_graph_monitoring.py:89: AssertionError
_________________________ test_performance_monitoring __________________________

graph_manager = <kg.models.graph_manager.KnowledgeGraphManager object at 0x141912990>

    @pytest.mark.asyncio
    async def test_performance_monitoring(graph_manager):
        """Test performance monitoring capabilities."""
        # Add test data
        for i in range(100):
            subject = f"http://example.org/core#Agent{i}"
            predicate = "http://example.org/core#hasStatus"
            object = "idle"
            await graph_manager.add_triple(subject, predicate, object)
    
        # Test query performance
        start_time = time.time()
        results = await graph_manager.query_graph("""
            SELECT ?agent ?status WHERE {
                ?agent <http://example.org/core#hasStatus> ?status .
            }
        """)
        query_time = time.time() - start_time
    
        # Verify performance
        assert len(results) == 100
        assert query_time < 1.0  # Should complete within 1 second
    
        # Get stats after query
        stats = graph_manager.get_stats()
>       cache_stats = stats['cache_stats']
                      ^^^^^^^^^^^^^^^^^^^^
E       TypeError: 'coroutine' object is not subscriptable

tests/test_graph_monitoring.py:145: TypeError
____________________ TestPromptAgent.test_prompt_generation ____________________

self = <tests.test_prompt_agent.TestPromptAgent object at 0x1121b7d10>
setup_prompt_agent = (<agents.core.agentic_prompt_agent.AgenticPromptAgent object at 0x1441df1d0>, <Graph identifier=Nc12718b812104373b18dca7b44d56800 (<class 'rdflib.graph.Graph'>)>)

    async def test_prompt_generation(self, setup_prompt_agent):
        """Test prompt generation with different templates."""
        agent, knowledge_graph = setup_prompt_agent
    
        # Test code review prompt
        message = AgentMessage(
            sender_id="test_agent",
            recipient_id="test_prompt_agent",
            content={
                "prompt_type": "code_review",
                "context": {
                    "role": "senior backend engineer",
                    "specialization": "Python and SPARQL",
                    "approach": "Follow best practices",
                    "documentation": "Document all changes"
                },
                "objective": "Debug and enhance the KnowledgeGraphManager module"
            },
            message_type="prompt_request"
        )
    
        response = await agent.process_message(message)
        assert response.message_type == "prompt_response"
        assert "prompt" in response.content
    
        prompt = response.content["prompt"]
        assert "role" in prompt
        assert "context" in prompt
        assert "objective" in prompt
        assert "approach" in prompt
        assert "documentation" in prompt
    
        # Test task execution prompt
        message = AgentMessage(
            sender_id="test_agent",
            recipient_id="test_prompt_agent",
            content={
                "prompt_type": "task_execution",
                "context": {
                    "role": "data engineer",
                    "task": "Process sensor data",
                    "constraints": "Must handle missing values",
                    "expected_output": "Cleaned dataset"
                }
            },
            message_type="prompt_request"
        )
    
        response = await agent.process_message(message)
>       assert response.message_type == "prompt_response"
E       AssertionError: assert 'error' == 'prompt_response'
E         
E         - prompt_response
E         + error

tests/test_prompt_agent.py:95: AssertionError
_______________ TestPromptAgent.test_knowledge_graph_integration _______________

self = <tests.test_prompt_agent.TestPromptAgent object at 0x1117f39d0>
setup_prompt_agent = (<agents.core.agentic_prompt_agent.AgenticPromptAgent object at 0x13793f690>, <Graph identifier=N870a2042a8c847c1af86fe7563fdcc43 (<class 'rdflib.graph.Graph'>)>)

    async def test_knowledge_graph_integration(self, setup_prompt_agent):
        """Test knowledge graph integration for prompts."""
        agent, knowledge_graph = setup_prompt_agent
    
        # Generate a prompt
        message = AgentMessage(
            sender_id="test_agent",
            recipient_id="test_prompt_agent",
            content={
                "prompt_type": "code_review",
                "context": {
                    "role": "senior backend engineer",
                    "specialization": "Python and SPARQL",
                    "approach": "Follow best practices",
                    "documentation": "Document all changes"
                },
                "objective": "Debug and enhance the KnowledgeGraphManager module"
            },
            message_type="prompt_request"
        )
    
        response = await agent.process_message(message)
    
        # Verify knowledge graph updates
        prompt_uri = URIRef("prompt:code_review")
        assert (prompt_uri, RDF.type, URIRef("prompt:Prompt")) in knowledge_graph
>       assert (prompt_uri, RDFS.label, Literal("Code Review Prompt")) in knowledge_graph
E       AssertionError: assert (rdflib.term.URIRef('prompt:code_review'), rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#label'), rdflib.term.Literal('Code Review Prompt')) in <Graph identifier=N870a2042a8c847c1af86fe7563fdcc43 (<class 'rdflib.graph.Graph'>)>

tests/test_prompt_agent.py:130: AssertionError
____________________ TestPromptAgent.test_prompt_validation ____________________

self = <tests.test_prompt_agent.TestPromptAgent object at 0x1120d1f90>
setup_prompt_agent = (<agents.core.agentic_prompt_agent.AgenticPromptAgent object at 0x140bb1f10>, <Graph identifier=Nbaf28dc0c2264799bdc8899f7e76d172 (<class 'rdflib.graph.Graph'>)>)

    async def test_prompt_validation(self, setup_prompt_agent):
        """Test prompt validation and error handling."""
        agent, knowledge_graph = setup_prompt_agent
    
        # Test missing required fields
        message = AgentMessage(
            sender_id="test_agent",
            recipient_id="test_prompt_agent",
            content={
                "prompt_type": "code_review",
                "context": {
                    "role": "senior backend engineer"
                    # Missing specialization, approach, documentation
                }
            },
            message_type="prompt_request"
        )
    
        response = await agent.process_message(message)
        assert response.message_type == "error"
>       assert "missing required fields" in response.content["error"].lower()
E       AssertionError: assert 'missing required fields' in 'missing required prompt parameters'
E        +  where 'missing required prompt parameters' = <built-in method lower of str object at 0x110ff4750>()
E        +    where <built-in method lower of str object at 0x110ff4750> = 'Missing required prompt parameters'.lower

tests/test_prompt_agent.py:163: AssertionError
_____________________ TestPromptAgent.test_prompt_metrics ______________________

self = <tests.test_prompt_agent.TestPromptAgent object at 0x1120d2c50>
setup_prompt_agent = (<agents.core.agentic_prompt_agent.AgenticPromptAgent object at 0x1441c86d0>, <Graph identifier=N6ae1e5bc489945a09aeb69eaa4284533 (<class 'rdflib.graph.Graph'>)>)

    async def test_prompt_metrics(self, setup_prompt_agent):
        """Test prompt metrics collection and reporting."""
        agent, knowledge_graph = setup_prompt_agent
    
        # Generate multiple prompts
        for i in range(3):
            message = AgentMessage(
                sender_id="test_agent",
                recipient_id="test_prompt_agent",
                content={
                    "prompt_type": "code_review",
                    "context": {
                        "role": "senior backend engineer",
                        "specialization": "Python and SPARQL",
                        "approach": "Follow best practices",
                        "documentation": "Document all changes"
                    },
                    "objective": f"Debug and enhance module {i}"
                },
                message_type="prompt_request"
            )
            await agent.process_message(message)
    
        # Query metrics
        message = AgentMessage(
            sender_id="test_agent",
            recipient_id="test_prompt_agent",
            content={
                "metric_type": "prompt_usage"
            },
            message_type="metrics_request"
        )
    
        response = await agent.process_message(message)
>       assert response.message_type == "metrics_response"
E       AssertionError: assert 'error_response' == 'metrics_response'
E         
E         - metrics_response
E         + error_response

tests/test_prompt_agent.py:219: AssertionError
_______________________ test_investigate_research_topic ________________________

reasoner = <agents.core.reasoner.KnowledgeGraphReasoner object at 0x1441bea50>

    @pytest.mark.asyncio
    async def test_investigate_research_topic(reasoner):
        """Test investigating a research topic."""
>       findings = await reasoner.investigate_research_topic("AI healthcare")
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

tests/test_reasoner.py:45: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
agents/core/reasoner.py:52: in investigate_research_topic
    topic_entries = await self._find_topic_entries(topic_lc)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
agents/core/reasoner.py:83: in _find_topic_entries
    for row in self._query(query):
               ^^^^^^^^^^^^^^^^^^
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <agents.core.reasoner.KnowledgeGraphReasoner object at 0x1441bea50>
sparql_query = '\n            PREFIX dm: <http://example.org/dMaster/>\nPREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>\nPR...mestamp ?timestamp .\n                FILTER(CONTAINS(LCASE(STR(?message)), "ai healthcare"))\n            }\n        '

    def _query(self, sparql_query: str) -> List[Dict[str, str]]:
        """Execute a SPARQL query and return results."""
        if self.graphdb:
            return self.graphdb.query(sparql_query)
        else:
            # For rdflib, convert ResultRow to dict with string keys and values
            results = []
            qres = self.graph.query(sparql_query)
            for row in qres:
                # row.labels gives the variable names
                result = {}
                for var in row.labels:
                    # Convert variable name to string
                    key = str(var)
                    # Convert value to string, handling None and URIRef/Literal objects
                    value = row[var]
                    if value is None:
                        result[key] = ""
>                   elif isinstance(value, (URIRef, Literal)):
                                            ^^^^^^
E                   NameError: name 'URIRef' is not defined

agents/core/reasoner.py:245: NameError
---------------------------- Captured stdout setup -----------------------------
DEBUG: Triples in sample_graph:
  http://example.org/dMaster/entry1 http://example.org/dMaster/message ai healthcare research
  http://example.org/dMaster/entry1 http://example.org/dMaster/timestamp 2024-05-30
  http://example.org/dMaster/paper1 http://example.org/dMaster/author dr. smith
  http://example.org/dMaster/paper1 http://example.org/dMaster/title ai in healthcare: a review
  http://example.org/dMaster/paper1 http://example.org/dMaster/year 2024
  http://example.org/dMaster/paper1 http://example.org/dMaster/hasInsight ai can improve diagnosis accuracy
  http://example.org/dMaster/agent1 http://example.org/dMaster/hasDiaryEntry http://example.org/dMaster/entry1
  http://example.org/dMaster/paper1 http://example.org/dMaster/hasTopic ai healthcare
----------------------------- Captured stdout call -----------------------------
Debug - Topic entries query:

            PREFIX dm: <http://example.org/dMaster/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX dct: <http://purl.org/dc/terms/>
            SELECT ?agent ?entry ?message ?timestamp
            WHERE {
                ?agent dm:hasDiaryEntry ?entry .
                ?entry dm:message ?message ;
